username,followers_count
GhostHustlerNFT,529
cartoongirlsnft,25
LMRlynx,1886
CDOfficialNFTs,48818
0x1stClass,2462
vurgesol,627
m4x0uill3,32
SolNftrees,8
Gakrons,1185
CryptoZavrDAO,274
Flamingghosts,86
TanksWhale,124
AZemhoute,73
imaginarium_th3,652
pepepunksnfts,61
ApesCrystal,107
fur_nft,1513
Pr0jectShield,2963
InfinitySerps,5749
VanaheimViking,667
KitsuneXNFT,14913
UprisingPanther,1382
SorciesNFT,20443
SECRETRIDDLER,3
TheRealCobra9,451
LubanskiD,404
Kasoe_1,109
LibertySquareHQ,22471
snegleg,433
ProteonNFT,2960
BirdBonesNFT,96
MGSkullz,401
0xgraffito,1406
KrattStudio,3581
OldRoosClub,220
WeirdMouse,79
thieves_cityNFT,7
bullclub0,198
rebelpokerio,6286
cosmic_kiddos,1862
CyberMummies,425
pugsDAO,4681
AngelicTheGame,76201
